みずほ銀行,都銀,対応する,整備済み,整備済み,整備済み,整備済み,https://www.mizuhobank.co.jp/company/activity/api/index.html,
三菱ＵＦＪ銀行,都銀,対応する,整備済み,検討中,整備済み,整備済み,http://www.bk.mufg.jp/ippan/law/houshin.html,
三井住友銀行,都銀,対応する,整備済み,2018年夏目途,整備済み,整備済み,http://www.smbc.co.jp/collaboration/,
りそな銀行,都銀,対応する,2018年6月,2018年6月,整備済み,2018年6月,http://www.resonabank.co.jp/util/dendai.html,
埼玉りそな銀行,都銀,対応する,2018年6月,2018年6月,整備済み,2018年6月,http://www.saitamaresona.co.jp/util/dendai.html,
ジャパンネット銀行,その他,対応する,整備済み,整備済み,整備済み,整備済み,http://www.japannetbank.co.jp/api/,
セブン銀行,その他,対応する,2018年9月,2018年9月,2018年9月,2018年9月,https://www.sevenbank.co.jp/support/apiCollaboration.html,
ソニー銀行,その他,対応する,2019年3月末まで,順次公開を予定,該当なし,該当なし,http://moneykit.net/visitor/stpl/stpl161.html,
楽天銀行,その他,対応する,検討中,検討中,2018年3月,2018年4月,https://www.rakuten-bank.co.jp/policy/cooperation.html,
住信SBIネット銀行,その他,対応する,整備済み,整備済み,整備済み,整備済み,https://www.netbk.co.jp/wpl/NBGate/i900500CT/PD/api_policy,
じぶん銀行,その他,対応する,2018年9月,検討中,検討中,検討中,https://www.jibunbank.co.jp/corporate/policy/#tab06,
イオン銀行,その他,対応する,2018年6月,検討中,2019年3月,検討中,https://www.aeonbank.co.jp/api/collaboration.html,
大和ネクスト銀行,その他,対応する,2019年度上期,­,2019年度上期,­,http://www.bank-daiwa.co.jp/info/2018/0301_3395.html,
三菱ＵＦＪ信託銀行,信託,対応する,2020年5月まで,­,­,­,https://www.tr.mufg.jp/ippan/topics/pdf/180228.pdf,
みずほ信託銀行,信託,対応しない,­,­,­,­,https://www.mizuho-tb.co.jp/company/topics/api.html,
三井住友信託銀行,信託,対応する,2019年夏頃,2020年春頃,2019年夏頃,2020年春頃,http://www.smtb.jp/general/api/,
ニューヨークメロン信託銀行,信託,対応しない,­,­,­,­,店舗に備え置き,
日本ﾏｽﾀｰﾄﾗｽﾄ信託銀行,信託,対応する,検討中,検討中,検討中,検討中,http://www.mastertrust.co.jp/policy/denshidaikou.html,
